gene_id	Symbol	tpm_cutoff	log2FoldChange.mem.cyt.293_1	log2FoldChange.mem.cyt.293_2	tc_CDS_norm
ENSG00000000003.10	TSPAN6	44.415	2.59475672877251	2.73728533316496	1.75616345829112
ENSG00000000419.8	DPM1	109.205	-0.621930037227979	-0.533773657364283	NA
ENSG00000000460.12	C1orf112	21.49	0.317341366545842	0.316760071017452	0.511865984178688
ENSG00000001036.9	FUCA2	57.255	3.95500079317345	3.80617063366699	2.18321543969959
ENSG00000001084.6	GCLC	21.155	-0.369263814983168	-0.177494567000047	0.189080595603876
ENSG00000001167.10	NFYA	23.72	-0.402579761822766	-0.525815284533152	NA
ENSG00000001460.13	STPG1	12.045	0.0619629223950067	-0.238637003596431	0.33208800332088
ENSG00000001461.12	NIPAL3	23.275	1.86336480139823	1.57442875620266	3.43716433941998
ENSG00000001497.12	LAS1L	62.145	-0.962966653015916	-0.518903135147432	NA
ENSG00000001630.11	CYP51A1	30.945	2.81855905605609	2.50106572579996	NA
ENSG00000001631.10	KRIT1	13.595	-0.778989069368359	-0.668881102744252	NA
ENSG00000002016.12	RAD52	12.59	0.685578854520055	0.0098172373051721	NA
ENSG00000002330.9	BAD	60.34	-0.200373493634508	-0.251529113469661	NA
ENSG00000002549.8	LAP3	32.44	-1.07635822395595	-0.666046698268284	NA
ENSG00000002586.13	CD99	71.66	3.33708580382417	3.16006760173474	NA
ENSG00000002822.11	MAD1L1	12.31	-0.58783822948439	-0.448557425316129	NA
ENSG00000002834.13	LASP1	27.79	-0.758201415418277	-0.279018870496238	NA
ENSG00000002919.10	SNX11	23.805	-0.227543694799978	0.0942833473459532	0.231043898340685
ENSG00000003056.3	M6PR	70.34	3.37204810854574	3.35992444382255	1.13022462325846
ENSG00000003249.9	DBNDD1	27.66	-0.0431191236625508	-0.348893364748571	NA
ENSG00000003393.10	ALS2	11.115	-0.509159526375498	-0.30477088568618	NA
ENSG00000003402.15	CFLAR	10.28	0.237180928579218	0.298427786014349	NA
ENSG00000003509.11	NDUFAF7	13.355	-0.474584578056349	-0.430550553572057	NA
ENSG00000003756.12	RBM5	35.595	0.834232502786711	0.547719796070954	NA
ENSG00000003989.12	SLC7A2	26.06	3.10721579905027	3.12323930561819	8.21181887950883
ENSG00000004059.6	ARF5	207.575	0.445813921866892	0.241736595847525	NA
ENSG00000004139.9	SARM1	14.855	0.130966411014195	0.41393283776362	NA
ENSG00000004142.7	POLDIP2	129.245	-0.0993409895420355	0.112557382110239	NA
ENSG00000004399.8	PLXND1	17.01	2.25716733228568	1.49739374845646	0.499706055261611
ENSG00000004455.12	AK2	309.63	-0.522506474231189	-0.26477948709485	NA
ENSG00000004478.5	FKBP4	344.43	-1.04701595137266	-0.495930831118406	0.0362918444967047
ENSG00000004487.11	KDM1A	105.23	-0.879620391379671	-0.670592983322715	0.114035921315214
ENSG00000004534.10	RBM6	19.94	-0.560119033886849	-0.465210012836657	NA
ENSG00000004660.10	CAMKK1	16.675	-0.246610426602667	-0.0458287340876727	NA
ENSG00000004700.11	RECQL	20.565	-1.81844933488716	-1.40877091718347	0.364697301239971
ENSG00000004779.5	NDUFAB1	393.275	-0.268664520690245	-0.299807110285966	0.181806623863709
ENSG00000004864.9	SLC25A13	34.935	-0.898268747781635	-0.392504656502989	NA
ENSG00000004866.14	ST7	28.33	1.47004766103208	1.59992215421809	0.15884221673138
ENSG00000004897.7	CDC27	41.745	-1.12778102179287	-0.537005912561146	NA
ENSG00000004961.10	HCCS	12.67	0.74591451774753	0.453240701041237	NA
ENSG00000004975.7	DVL2	35.9	-0.59816604647942	-0.693789371586598	NA
ENSG00000005007.8	UPF1	22.835	-1.12967231184826	-0.995873312294684	NA
ENSG00000005020.8	SKAP2	23.2	-0.911472646322156	-0.953576291432638	NA
ENSG00000005022.5	SLC25A5	746.985	-0.393141119315232	-0.0786344163837825	0.121153704558994
ENSG00000005059.11	CCDC109B	25.455	0.0877536528550572	0.0683268106750999	NA
ENSG00000005073.5	HOXA11	21.455	-0.231396020295585	-0.373260155567847	NA
ENSG00000005075.11	POLR2J	149.42	-0.0119069742313534	-0.074437090869923	NA
ENSG00000005100.8	DHX33	29.755	-0.34296049911964	-0.341496552335668	NA
