gene_id	gene_name	log2FoldChange.ribo.rna.guide1.293	padj.ribo.rna.guide1.293	log2FoldChange.ribo.rna.guide2.293	padj.ribo.rna.guide2.293	log2FoldChange.ribo.rna.KO.WT	padj.ribo.rna.KO.WT
ENSG00000000003.10	TSPAN6	-0.0765892866934467	1	-0.138664931525532	1	-0.107481550369176	0.999967370325923
ENSG00000000005.5	TNMD	2.54845151798785	NA	5.30061650067611	NA	4.64068688196869	NA
ENSG00000000419.8	DPM1	0.0333539300289309	1	-0.059093079167718	1	-0.0143861687228764	0.999967370325923
ENSG00000000457.9	SCYL3	-0.0278175213386649	1	-0.0918173891471507	1	-0.0586616702159984	0.999967370325923
ENSG00000000460.12	C1orf112	-0.0140978774813275	1	-0.0309190536472901	1	-0.0228002609467308	0.999967370325923
ENSG00000000971.11	CFH	-3.91200932782768	NA	-2.33142122520927	NA	-3.13503469653064	NA
ENSG00000001036.9	FUCA2	-0.252690223102707	1	-0.182209123610617	1	-0.211762491153527	0.999967370325923
ENSG00000001084.6	GCLC	0.13155444921577	1	0.0787138596111985	1	0.107974936885965	0.999967370325923
ENSG00000001167.10	NFYA	0.000514190444365879	1	0.0796492617692565	1	0.0401410705666631	0.999967370325923
ENSG00000001460.13	STPG1	-0.0709669690504347	1	-0.0360268282340315	1	-0.0543298249211581	0.999967370325923
ENSG00000001461.12	NIPAL3	0.153083870889607	1	-0.124029133436218	1	0.025532326342889	0.999967370325923
ENSG00000001497.12	LAS1L	-0.0703461274393453	1	-0.0372001186532005	1	-0.0543999900302687	0.999967370325923
ENSG00000001561.6	ENPP4	-0.110100355331812	1	-0.234955213499923	1	-0.16876758667905	0.999967370325923
ENSG00000001617.7	SEMA3F	0.493815431651857	1	0.321568967212175	1	0.397777072587649	0.999967370325923
ENSG00000001626.10	CFTR	0.338115069092679	NA	2.09248828294338	NA	1.04939921998545	NA
ENSG00000001629.5	ANKIB1	-0.224940540258662	1	-0.378308971024671	1	-0.295541765171287	0.999967370325923
ENSG00000001630.11	CYP51A1	-0.17057111019998	1	-0.10352936167935	1	-0.137569467266177	0.999967370325923
ENSG00000001631.10	KRIT1	-0.161852495614776	1	-0.216961224527532	1	-0.191833819924731	0.999967370325923
ENSG00000002016.12	RAD52	-0.243608087675516	1	-0.0980765028237945	1	-0.174688812664766	0.999967370325923
ENSG00000002079.8	MYH16	-0.514534919093101	NA	-1.29129286809167	NA	-0.864662428798477	NA
ENSG00000002330.9	BAD	0.170282994432149	1	0.112618942027979	1	0.142961768445967	0.999967370325923
ENSG00000002549.8	LAP3	0.083104843414095	1	0.101741385460754	1	0.0922859296549	0.999967370325923
ENSG00000002586.13	CD99	0.170651831031739	1	0.0660356837694161	1	0.119838978641713	0.999967370325923
ENSG00000002587.5	HS3ST1	0.585108268958837	NA	0.429005202647236	NA	0.498867207252462	NA
ENSG00000002726.15	AOC1	-0.513311644989423	NA	1.15740260682367	NA	0.287197674522597	NA
ENSG00000002745.8	WNT16	-0.414962715053483	1	0.428886206690899	1	0.0102364044782436	0.999967370325923
ENSG00000002746.10	HECW1	-0.806883182673294	1	0.190402265822809	1	-0.316092272087821	0.999967370325923
ENSG00000002822.11	MAD1L1	0.268507419328008	1	-0.00794273497586668	1	0.117318913600435	0.999967370325923
ENSG00000002834.13	LASP1	0.152139792800645	1	0.036495978275778	1	0.0937420089144585	0.999967370325923
ENSG00000002919.10	SNX11	0.0894145221584013	1	0.114176947829404	1	0.103055623703555	0.999967370325923
ENSG00000002933.3	TMEM176A	0.356137017408171	NA	-0.354922919608223	NA	0.188104107713119	NA
ENSG00000003056.3	M6PR	0.0123782797995698	1	-0.023336067245402	1	-0.00622200043560693	0.999967370325923
ENSG00000003096.9	KLHL13	0.129708530398427	1	0.0833390606851832	1	0.108834571362217	0.999967370325923
ENSG00000003137.4	CYP26B1	-0.472640869130106	1	-0.424755831136983	1	-0.450620965817748	0.999967370325923
