PC1	PC2	group	Batch	Condition	name
-34.2470731897183	-1.38185349816189	1:HDLBP_KO	1	HDLBP_KO	A_HDLBP_KO_1
-35.0129553444895	-1.42385164651898	2:HDLBP_KO	2	HDLBP_KO	A_HDLBP_KO_2
-34.7764922770075	-1.58318983168766	3:HDLBP_KO	3	HDLBP_KO	A_HDLBP_KO_3
-35.3981924686773	2.70193696463837	1:WT	1	WT	A_WT_1
-34.8258060601489	1.80095246722276	2:WT	2	WT	A_WT_2
-34.1400840117371	2.49456754414039	3:WT	3	WT	A_WT_3
14.9217131228236	-52.839930714212	2:HDLBP_KO	2	HDLBP_KO	Tumor_HDLBP_KO_2
15.4195328429054	-6.08227722929741	3:HDLBP_KO	3	HDLBP_KO	Tumor_HDLBP_KO_3
19.0231212769769	-41.335789304574	4:HDLBP_KO	4	HDLBP_KO	Tumor_HDLBP_KO_4
15.7239611176667	-8.11351666402427	5:HDLBP_KO	5	HDLBP_KO	Tumor_HDLBP_KO_5
17.0541988917602	11.3943412757684	1:WT	1	WT	Tumor_WT_1
18.1099966210675	15.8031745830924	2:WT	2	WT	Tumor_WT_2
16.5260008931313	15.2881683684217	3:WT	3	WT	Tumor_WT_3
16.6459049075437	13.0810375096676	4:WT	4	WT	Tumor_WT_4
18.0686775477246	15.7560966746138	5:WT	5	WT	Tumor_WT_5
17.8764913256246	11.5007089977837	6:WT	6	WT	Tumor_WT_6
19.2917944368054	14.6440624774759	7:WT	7	WT	Tumor_WT_7
19.7392103677486	8.29536202565117	8:WT	8	WT	Tumor_WT_8
